gene1,gene2,p_value,statistic,depletion_p_value,q_value,SR_DD_p_value,SR_DD_q_value,depletion_q_value,SR_DD_depletion_p_value,SR_DD_depletion_q_value,survival_coef,survival_p_value,survival_q_value,phylo_coefficient
EGFR,SACS,1.80358856421886e-26,81041,5.230616319123479e-5,8.934920700697045e-23,1,1,0.00221593245656045,0.9999476938368088,1,-0.3812016638652209,6.783792209849508e-9,5.0398891392811035e-8,5.185290484192029
EGFR,CEP170,1.807851916547558e-26,80816,2.4028916580946927e-6,8.934920700697045e-23,1,1,1.6228806287433997e-4,0.999997597108342,1,-0.3356386746335134,2.724708254034393e-7,1.5143531392845489e-6,8.56852461435023
EGFR,STRADA,1.904448710382048e-26,80804,6.88121812037736e-18,9.323534092128868e-23,1,1,1.301844658568542e-14,1,1,-0.12745324976579683,4.241387811569574e-7,2.276017190224926e-6,5.995050287005937
EGFR,REV3L,4.163965222291366e-26,80623,1.4400861150101542e-12,1.9824294609686989e-22,1,1,6.301493852010748e-10,0.99999999999856,1,-0.22472155634880214,1.894551409929137e-6,9.013524644693735e-6,8.707931323436563
EGFR,CLIP3,4.885244395057306e-26,81484,7.510835108453993e-7,2.304680660337308e-22,1,1,6.0620148736066e-5,0.9999992489164892,1,-0.18858863401135273,0.2200074471709661,0.3404812177563351,3.5609259954280383
EGFR,HDHD2,5.626943194928029e-26,80553,9.938833549673328e-17,2.630671983401758e-22,1,1,1.371788997546095e-13,1,1,-0.07986881790240849,0.7793871323137859,0.9776557265377552,8.58404538896365
EGFR,HCFC2,5.736831210980191e-26,81220,0.00254632606055328,2.6580992755589825e-22,1,1,0.05373366653547504,0.9974536739394468,1,-0.1737937757974369,1.358527459919787e-4,4.5146614287856226e-4,3.9707586234687127
EGFR,ARMC6,6.291493980996438e-26,80527,4.00206632674888e-9,2.8892990146002583e-22,1,1,6.384692146922489e-7,0.9999999959979337,1,-0.25953728027765116,0.00118743887491439,0.00324754337247303,5.6184306975602984
EGFR,DDHD1,6.505134569013285e-26,80743,6.943766660703115e-11,2.9612057309155738e-22,1,1,1.897622829175943e-8,0.9999999999305624,1,-0.04497079028180045,1.619922986220086e-5,6.456480913366074e-5,3.590911273208257
EGFR,ZNF583,7.705002351293343e-26,81152,8.999709829143457e-12,3.417464889042878e-22,1,1,3.1515198454123433e-9,0.9999999999910004,1,-0.1117684724872603,0.01775886940780659,0.03719357544277074,5.378156020304273
EGFR,EIF2B3,7.89645311528759e-26,80474,9.626616153915722e-4,3.472699474277409e-22,1,1,0.02445971165507554,0.9990373383846084,1,-0.08871681591890955,0.00366482384356331,0.00901136067826087,3.9275541767234303
EGFR,MYO9B,8.492611664669284e-26,80457,1.995576701650454e-4,3.672629914386232e-22,1,1,0.00672317874659459,0.999800442329835,1,-0.22774738818182047,5.2483628059780714e-24,5.208998761220659e-22,5.272731582597467
EGFR,DYM,1.341286377424498e-25,80350,9.529338558151646e-24,5.524183751592611e-22,1,1,7.493048853800432e-20,1,1,-0.1622128563375141,9.124631771112458e-4,0.00255643405185223,6.947123808062162
EGFR,ZNF566,1.6405411798025464e-25,80526,1.1142695976156929e-13,6.576646653005608e-22,1,1,7.077957775591471e-11,0.9999999999998884,1,-0.06950424201359047,6.354552887964112e-4,0.00184006602712738,5.89804691984823
EGFR,SHQ1,1.647520069547018e-25,80525,1.9383780696272697e-6,6.576646653005608e-22,1,1,1.367528890239608e-4,0.9999980616219304,1,-0.023976764059001024,0.01692292315124836,0.035636536168818,7.346894456955586
EGFR,CCDC106,1.8068738780225973e-25,80280,1.540447604372244e-13,7.1034782595533815e-22,1,1,9.09489729122014e-11,0.999999999999846,1,-0.09857254353056391,0.3862279883120298,0.5496857164846299,10.299836214764234
EGFR,ZNF529,1.8933523283502407e-25,80269,4.771645355516238e-13,7.3874906561960445e-22,1,1,2.4325407418626673e-10,0.9999999999995228,1,-0.14342662522876806,3.449150298070979e-4,0.0010558928595772,8.340423134978563
EGFR,ACTR8,2.3912245717512165e-25,80214,1.1799264442605677e-7,9.191867253811676e-22,1,1,1.206063407137747e-5,0.9999998820073556,1,-0.09884719401340708,1.847242662311622e-4,5.973575991370826e-4,8.299470787956858
EGFR,E2F3,2.6253793206689164e-25,80415,9.661328822537097e-9,9.944630253050563e-22,1,1,1.38200408904234e-6,0.9999999903386712,1,-0.41954458466333544,2.756771610931983e-23,2.430886399875935e-21,3.763856354549251
EGFR,GPR162,2.988263940601802e-25,81499,0.00102518319910261,1.1156328700258268e-21,1,1,0.02576696286752652,0.9989748168008974,1,-0.2333475025351431,2.6714525879055276e-11,3.02797653498711e-10,5.578006194631218
EGFR,KIF15,3.5296817571563686e-25,80122,9.661328822537097e-9,1.2899246838441731e-21,1,1,1.38200408904234e-6,0.9999999903386712,1,-0.5768224899291555,1.1398662899979922e-19,5.3158932249286725e-18,3.75574388416239
EGFR,ITPR1,3.710957702369692e-25,80333,3.1199220282515346e-12,1.3466883846627468e-21,1,1,1.261009793797207e-9,0.99999999999688,1,-0.021324854956005897,0.8768753138886913,1,5.066663930217759
EGFR,TSHZ1,4.574060178149467e-25,80730,3.472454568335058e-13,1.618694291803187e-21,1,1,1.900938111777574e-10,0.9999999999996528,1,-0.11077151002838372,1.670769847215238e-4,5.453207971864233e-4,3.7884044443239624
EGFR,SCMH1,4.585271146858375e-25,80060,5.2448846410023734e-8,1.618694291803187e-21,1,1,5.987510003271181e-6,0.9999999475511536,1,-0.08727932812556224,0.00159010175688084,0.00422917879925048,2.6675561378753834
EGFR,KBTBD8,4.625583084762666e-25,80504,1.1142695976156929e-13,1.6218919500045527e-21,1,1,7.077957775591471e-11,0.9999999999998884,1,-0.05473036924413527,1.142230899096989e-9,9.717338646582147e-9,1.7163460537422606
EGFR,UBR7,5.4643930319980825e-25,80241,1.8581537687897047e-10,1.890461413350057e-21,1,1,4.5146090211961e-8,0.9999999998141846,1,-0.16902137604005038,0.09999727783437322,0.17173148750234216,3.466986895876493
EGFR,ZNF671,5.86259425120586e-25,81117,1.234589631132603e-12,2.0147911660402446e-21,1,1,5.741140475806391e-10,0.9999999999987654,1,-0.1031133486940475,0.35725485595871265,0.51482429636371,9.28966124450496
EGFR,NECAB1,6.638805861083137e-25,81752,2.4716563489955824e-11,2.2375498522114174e-21,1,1,7.78342281838101e-9,0.9999999999752834,1,-0.244408236022295,3.34255727475964e-4,0.00102594446321562,3.8013116108097327
EGFR,MAP3K12,7.9534266366260285e-25,79929,2.593776133527244e-7,2.6628072379423948e-21,1,1,2.381778720419052e-5,0.9999997406223866,1,-0.23932908534159725,1.07094858367295e-6,5.333950870850701e-6,3.820128028511626
EGFR,DOCK11,1.0368112021278203e-24,80088,4.00206632674888e-9,3.40533421033045e-21,1,1,6.384692146922489e-7,0.9999999959979337,1,-0.16211847144397304,3.477208280831907e-4,0.0010636813698504,2.4554897386077132
EGFR,KHDRBS1,1.2250321211017027e-24,80048,2.826870865402928e-5,3.998227477512691e-21,1,1,0.0013266889965686,0.999971731291346,1,-0.15288058452518596,3.498425649357412e-4,0.00106959585389336,4.108524602958377
EGFR,GABPA,1.2655263830529102e-24,79818,4.00206632674888e-9,4.104576632634233e-21,1,1,6.384692146922489e-7,0.9999999959979337,1,-0.16288166405111912,4.082122973158402e-7,2.197492677971514e-6,4.7731270573068425
EGFR,FBXO10,1.441805735015466e-24,80677,2.5011520426706527e-8,4.6472712306144455e-21,1,1,3.167436242383262e-6,0.9999999749884796,1,-0.24996267592808136,0.03963541297674183,0.07596017891771925,6.771512809906679
EGFR,ZNF730,1.5312095196596235e-24,83546,8.358147290509149e-6,4.9049744946429944e-21,1,1,4.7702657262879813e-4,0.9999916418527096,1,0,1,1,6.811481273735679
EGFR,HSF2,1.7518391274031806e-24,79740,4.2356648940833796e-12,5.5096933137854934e-21,1,1,1.5940321269672003e-9,0.9999999999957644,1,-0.07495517211112135,0.04686883902457833,0.08810763581959355,4.123230025219814
EGFR,DPY19L3,1.9435558888888783e-24,79937,2.6526660040208718e-17,6.039454448982003e-21,1,1,4.2358342095652304e-14,1,1,-0.219931771578617,3.212483868929602e-8,2.111796896355425e-7,4.2141984548790745
EGFR,GSTM2,1.974957436397299e-24,80377,5.6238841530094e-13,6.091458874867718e-21,1,1,2.8291706490270675e-10,0.9999999999994376,1,-0.046397209291584654,0.00101767568570748,0.00282306752928943,4.986919928307178
EGFR,MTR,2.0942099004905563e-24,79919,7.469833998500497e-9,6.392760504473937e-21,1,1,1.1217006194154536e-6,0.999999992530166,1,-0.19076445902713474,5.113598977480044e-4,0.00151086697923683,10.444871062012837
EGFR,MAD2L2,2.1567227561104964e-24,79690,5.572511639950706e-7,6.545086006175327e-21,1,1,4.626379216525833e-5,0.999999442748836,1,-0.23458186445468354,0.0067205270590333,0.01555269280088486,6.270974340431783
EGFR,ZNF382,2.5005828697422152e-24,80098,2.4028916580946927e-6,7.457772841517386e-21,1,1,1.6228806287433997e-4,0.999997597108342,1,-0.09582398631820507,0.1982035795362583,0.31117233859891874,6.4088125378153595
