index,PIK3CA-0001,PIK3CA-0002,PIK3CA-0003,PIK3CA-0004,PIK3CA-0036,PIK3CA-0047,PIK3CA-1020,PIK3CA-1033,PIK3CA-1038,PIK3CA-1045,PIK3CA-1052,PIK3CA-1268,PIK3CA-1458,PIK3CA-1588,PIK3CA-2179,PIK3CA-1039,PIK3CA-1676,PIK3CA-1035,PIK3CA-1113
RNA5SP246,79.21,0,0,37.58,57.83,0,0,134.91,0,46.16,0,49.37,0,0,54.52,97.87419214,0,7.678820478,3.215667741
RNA5SP247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP248,0,0,55.91,0,142.96,0,0,27.11,0,88.62,0,0,0,60.06,15.03,0,4.98196898,14.3902305,6.026211988
RNA5SP249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP25,0,0,0,0,36.8,229.39,0,44.2,0,74.7,0,0,0,95.43,0,0,0,0,3.478767829
RNA5SP251,46.59,0,0,0,9.57,0,0,21.09,0,34.18,0,28.5,38.81,118.69,60.43,0,1.539440537,0,2.79317125
RNA5SP252,0,0,0,0,59.7,0,0,33.73,0,27.71,81.94,0,66.15,36.92,18.17,0,1.772297088,3.839410239,3.215667741
RNA5SP253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.971059379,0,0
RNA5SP256,580.78,1196.83,88.17,182.54,693.99,0,0,563.68,410.27,400.33,90.25,544.72,486.18,349.35,445.23,0,5.599204075,0,10.15923348
RNA5SP257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP259,1003.29,0,1117.41,1465.47,1586.68,0,851.81,1601.41,1601.67,1539.77,783.14,977,1637.61,1621.83,1530.43,213.7069516,112.2238028,50.29979653,59.68161322
RNA5SP26,0,0,0,0,0,0,0,0,0,27.71,0,0,0,0,18.17,0,0,0,0
RNA5SP260,0,0,0,698.9,246.73,607.72,158.76,580.15,958.72,586.9,186.24,678.9,521.91,308.55,443.87,209.8563759,9.500151059,49.39349389,10.34228274
RNA5SP261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP262,0,0,0,0,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP263,212,0,54.22,201.18,204.4,139.78,0,301.87,144.97,185.35,76.07,162.71,400.22,187.16,203.9,409.4658585,82.38412246,78.52793755,35.87479324
RNA5SP264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.01,0,0,4.269998303,0
RNA5SP265,93.88,0,0,40.02,0,0,0,0,0,96.37,0,0,0,0,0,0,0,0,0
RNA5SP266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP267,165.81,0,0,91.32,323.84,0,0,191.08,186.73,317.29,369.38,157.96,53.11,30.78,123,0,11.71685297,10.87832901,3.037019534
RNA5SP268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36919062,0
RNA5SP269,0,0,0,0,9.56,0,0,0,0,0,0,0,0,51.06,0,0,1.539440537,0,0
RNA5SP27,0,0,0,0,0,0,0,0,0,14.35,0,0,0,0,0,0,0,0,3.215667741
RNA5SP270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP272,0,0,0,0,0,0,0,42.83,0,0,0,0,0,0,0,0,0,0,0
RNA5SP273,0,0,0,0,135.41,0,0,40.26,0,66.72,0,0,0,131.01,21.2,0,1.866401358,0,0
RNA5SP274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP276,0,0,0,0,30.44,0,0,0,0,0,0,62.11,0,0,0,0,2.243652697,0,4.070898524
RNA5SP277,0,0,154.56,157.73,212.52,376.89,0,198.68,256.48,563.84,358.87,0,144.03,70.39,262.82,0,0,0,0
RNA5SP278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.87587167,22.50967419
RNA5SP279,0,0,0,0,30.44,0,0,35.73,0,58.88,0,0,0,0,0,0,0,0,0
RNA5SP28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.52,0,3.544594177,3.839410239,9.647003224
RNA5SP280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP282,0,0,0,0,0,0,0,47.1,0,0,0,0,0,0,24.31,0,0,8.460922564,0
RNA5SP283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.772297088,3.839410239,22.50967419
RNA5SP284,0,0,0,46,14.83,0,0,104.12,0,28.56,0,0,0,168.25,0,0,12.51121589,0,3.242919163
RNA5SP285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP286,0,0,0,0,37.77,0,0,0,0,0,74.42,0,0,0,0,0,5.968962835,0,0
RNA5SP287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP289,46.21,0,41.54,22.5,114.77,91.56,72.62,43.86,59.99,135.88,0,142.51,0,47.48,229.64,0,0,0,2.79317125
RNA5SP29,0,0,0,0,20.66,0,0,0,0,0,0,0,0,0,25.74,0,3.979308557,0,0
RNA5SP290,0,0,0,32.99,98.79,0,0,99.23,0,174.65,0,0,206.14,159.69,16.12,0,21.58853225,7.195115251,6.026211988
RNA5SP291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.008603367,0,0
RNA5SP292,0,0,0,0,0,0,0,0,0,0,0,0,0,34.15,0,0,0,0,0
RNA5SP293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.130336904,0,7.730595176
RNA5SP295,74.66,0,80.63,85.73,117.84,0,114.57,140.07,0,236.99,0,92.5,0,284.48,75.91,48.12821845,20.91603506,18.87974456,3.162516208
RNA5SP296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11612449,6.894855157
RNA5SP297,0,0,0,0,16.93,0,0,0,0,0,0,0,0,0,0,0,0,20.21636365,3.386411161
RNA5SP298,207.6,0,756.65,342.35,537.37,441.41,158.84,642.44,147.88,621.53,96.7,260.42,678.75,371.01,1477.75,1993.635571,378.1060121,580.3735532,203.3982271
RNA5SP299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18132358,0,0
RNA5SP30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833942204,0,0
RNA5SP300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.80999491,0
RNA5SP301,0,0,0,70.57,13.75,0,0,0,0,77.69,0,92.5,0,69.99,0,0,20.91603506,18.87974456,6.325032417
RNA5SP302,1882.29,0,817.95,1908.64,3629.13,1932.53,507.56,4525.62,989.95,2718.77,499.36,2544.2,789.3,2438.82,2426.03,174.705433,16.87226828,22.84449092,15.30657845
RNA5SP303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.06900326,0,0
RNA5SP304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP305,0,0,0,0,14.46,0,0,33.73,0,0,0,0,0,0,0,0,5.316891265,7.678820478,0
RNA5SP306,0,0,0,0,20.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81611599,16.49415781
RNA5SP308,0,0,0,0,17.5,0,0,0,126.68,0,0,0,0,41.31,20.11,0,1.833942204,7.945909886,0
RNA5SP309,0,0,0,0,0,0,0,50.27,0,0,0,0,0,0,0,0,0,0,0
RNA5SP31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP310,0,0,0,0,0,0,0,0,0,0,17.18,0,0,0,0,0,0,3.938705331,3.298831562
RNA5SP311,0,0,0,0,0,0,0,0,0,0,17.18,0,0,0,0,0,7.272529431,7.877410663,13.19532625
RNA5SP312,0,0,39.78,0,7.81,0,0,0,0,0,17.18,0,0,0,0,0,25.45385301,31.50964265,36.28714718
RNA5SP315,0,0,39.78,0,7.81,0,0,0,0,0,17.18,0,0,0,0,0,25.45385301,31.50964265,32.98831562
RNA5SP317,0,0,0,0,0,0,0,0,0,0,17.18,0,0,0,0,0,9.090661789,15.75482133,3.298831562
RNA5SP318,0,0,0,0,0,493.19,0,0,0,79.31,0,0,0,0,0,0,2.292427755,0,0
RNA5SP319,0,0,0,0,14.46,0,0,0,0,13.37,0,0,0,0,0,0,0,0,0
RNA5SP320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08600372
RNA5SP321,0,0,94.58,0,268.32,220.71,0,128.49,0,142.38,0,194.85,0,0,44.75,0,5.700090635,8.232248981,3.447427579
RNA5SP322,0,0,0,0,46.67,0,0,0,0,27.71,0,0,0,36.92,18.17,0,3.544594177,0,0
RNA5SP323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9286975,6.870523586,8.6315292
RNA5SP324,0,0,105.33,216.85,331.21,248.07,0,735.88,0,236.03,98.44,144.75,0,202.84,413.33,0,0,0,7.086378912
RNA5SP325,56.61,0,51.03,271.66,211.41,0,0,125.41,0,243.99,69.89,244.71,0,307.04,56.37,89.59252972,48.67000465,14.05814826,5.887145557
RNA5SP326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP329,237.64,1034.95,346.67,498.98,1044.25,164.39,0,1180.75,436.8,988.7,92.93,1086.18,0,429.62,1052.23,0,0,0,0
RNA5SP33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.304150071,18.64856402,7.8094788
RNA5SP330,0,0,0,0,28.41,0,0,0,0,0,0,0,0,0,0,0,2.196909932,4.759268942,0
RNA5SP331,0,0,109.26,0,40.12,0,0,0,0,162.42,0,0,0,0,0,0,0,0,0
RNA5SP332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP333,0,0,0,38.78,29.66,0,0,17.35,0,0,41.61,0,0,18.97,0,0,0,11.61584284,136.2026048
RNA5SP334,0,0,0,38.78,29.66,0,0,17.35,0,0,41.61,0,0,18.97,0,0,0,11.61584284,142.6884432
RNA5SP335,0,0,303.49,172.18,314.62,319.02,0,364.94,307.8,351.4,102.77,471.66,90.18,102.42,207.24,317.6462418,170.639986,149.5275769,48.70274961
RNA5SP336,84.57,0,307.77,723.13,396.91,706.24,129.98,245,0,169.94,84.55,105.54,212.01,1461.93,188.24,199.0945105,18.02592765,39.05041183,26.16509137
RNA5SP337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.934893151,0,0
RNA5SP338,909.66,0,546,966.88,898.19,1401.03,0,883.73,0,872.48,0,941.59,779.22,347.3,886.3,0,12.40607962,5.375174335,13.50580451
RNA5SP339,0,0,0,0,13.42,0,0,62.01,0,0,0,0,0,34.09,16.89,0,0,0,0
RNA5SP34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.269998303,0
RNA5SP341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16750116,0,22.07679584
RNA5SP345,0,0,0,108.43,38.97,0,0,0,0,39.34,0,72.37,0,299.86,48.63,0,5.858426486,12.69138385,0
RNA5SP346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP349,0,0,0,0,0,0,0,0,0,38.03,0,0,0,0,23.64,0,0,0,0
RNA5SP35,0,0,0,27.94,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP350,0,0,0,48.84,0,0,0,0,0,0,0,0,0,46.31,0,52.46409398,3.800060423,8.232248981,3.447427579
RNA5SP351,0,0,101.58,52.34,113.58,0,0,136.85,320.37,76.07,0,209.36,0,49.18,118.21,160.2802137,3.869786303,0,3.51068313
RNA5SP352,87.28,0,43.4,111.23,140.43,0,0,348.45,0,167.88,0,85.14,38.92,48.67,36.46,0,0,0,0
RNA5SP353,0,0,148.86,0,118.64,0,0,180.92,0,114.23,0,0,0,113.8,46.7,0,0,0,3.242919163
RNA5SP354,0,0,0,0,9.77,0,0,21.61,0,0,0,0,0,24.28,12.34,0,3.101519904,0,5.627418547
RNA5SP355,178.64,0,106.38,260.82,436.7,0,0,131.93,0,390.91,196.29,197.8,0,298.01,82.71,86.27428788,32.80718832,47.38116636,19.84186095
RNA5SP356,0,0,0,92.78,273.98,0,0,153.57,0,65.93,130.53,125.62,0,243.69,37.5,0,0,0,0
RNA5SP357,0,0,0,0,487.41,164.39,0,0,0,0,82.81,0,0,73.83,52.41,48.93709607,1.772297088,7.678820478,0
RNA5SP358,0,0,153.88,0,15.22,0,0,0,235.05,0,84.55,0,0,78.54,57.32,0,16.22333488,27.33528828,16.3531821
RNA5SP359,96.8,0,0,45.74,175.59,0,0,179.26,136.76,73.98,0,0,260.26,178.47,187.05,0,0,0,0
RNA5SP36,51.99,0,46.67,0,20.83,0,0,0,0,93.97,0,31.99,0,0,53.04,0,0,0,2.8771764
RNA5SP360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.89181977,0
RNA5SP364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.942118757,0,0
RNA5SP366,283.26,0,126.65,202.32,275.85,0,0,533.02,94.73,521.26,154.29,130.14,116.45,334.57,248.1,94.69129158,17.14661411,11.14365411,6.222186361
RNA5SP367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP368,0,0,79.02,70.75,65.56,178.56,132.5,0,0,86.38,0,0,0,180.84,39.09,0,0,0,0
RNA5SP369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP37,58.21,0,0,0,25.09,0,0,0,0,21.06,0,0,145.81,58.96,23.74,0,40.55833721,31.63083358,23.54858223
RNA5SP370,0,0,0,119.42,295.86,0,0,190.47,106.79,143.58,0,306.74,0,121.49,141.88,10203.18231,4254.670131,3428.561613,1154.318416
RNA5SP371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.945909886,3.327517054
RNA5SP373,0,0,0,0,58.8,0,0,0,0,0,0,0,0,0,0,0,0,4.80936651,8.05609392
RNA5SP374,328.18,0,178.42,126.06,299.62,133.83,0,85.81,88.4,186.43,0,81.47,164.23,345.69,125.97,0,11.8105878,3.655118548,0
RNA5SP375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP376,0,0,0,0,0,0,0,20.32,0,0,45.89,0,0,0,22.21,0,0,4.079373379,0
RNA5SP377,0,0,0,0,0,0,0,20.32,0,0,45.89,0,0,0,22.21,0,0,0,0
RNA5SP378,0,0,0,0,104.58,0,118.18,253.63,0,57.19,0,0,0,179.69,101.07,0,3.515055892,3.807415154,0
RNA5SP379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.732802717,0,0
RNA5SP38,238.29,0,0,488.54,535.73,328.78,0,168.46,0,360.31,0,296.23,0,442.98,217.03,0,5.316891265,3.839410239,6.431335483
RNA5SP380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP382,785.77,0,0,47.2,226.17,637.32,0,249.12,148.54,206.68,0,188.07,167.87,314.74,130.66,103.9913291,43.31051009,12.23812014,10.24994093
RNA5SP383,230.12,1011.11,69.71,110.14,271.92,158.71,109.35,258.09,0,349.37,161.38,143.21,64.04,359.36,264.47,0,8.787639729,0,19.13322306
RNA5SP384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP385,0,0,0,0,18.4,0,0,0,0,0,95.01,0,0,0,0,0,7.669212855,4.153543804,0
RNA5SP386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.942118757,0,0
RNA5SP387,1244.69,0,793.57,931.8,1771.47,1074.96,759.31,1012.53,1630.84,1190.73,204.22,779.26,732.63,861.18,704.99,0,1.989654278,0,0
RNA5SP388,79.21,0,144.04,75.16,43.37,0,0,0,218.4,0,82.02,0,0,221.41,90.86,0,10.63378253,15.35764096,0
RNA5SP389,1891.76,0,0,2264.24,53.92,0,0,2861.15,0,428.46,0,0,0,99.09,2130.19,13014.28877,3218.568569,8665.014731,2901.594871
RNA5SP39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.807415154,0
RNA5SP390,0,0,0,0,16.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP392,0,0,0,0,0,0,0,0,0,68.75,0,0,0,44.27,43.43,0,0,0,0
RNA5SP393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.802592765,3.905041183,0
RNA5SP394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP395,81.83,0,0,0,74.15,0,0,173.71,0,28.56,249.68,51.03,68.36,75.86,74.53,0,3.57463311,23.23168568,3.242919163
RNA5SP396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.787316555,23.23168568,3.242919163
RNA5SP399,0,0,0,40.03,76.09,0,0,35.73,0,0,150.21,52.77,70.67,156.87,19.11,0,23.43370594,27.33528828,9.811909262
RNA5SP40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.917303214,0,0
RNA5SP400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11612449,6.894855157
RNA5SP401,0,0,56.85,31.98,66.94,0,0,65.37,0,0,0,42.3,0,0,0,0,0,0,0
RNA5SP402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.478767829
RNA5SP403,231.2,0,0,0,191.99,0,0,141.3,0,39.34,196.88,72.37,0,101.42,146.34,107.8428599,3.905617657,0,0
RNA5SP404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.597752678,0,17.39383915
RNA5SP405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.850029417,0,0
RNA5SP406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.883065656,0,0
RNA5SP407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.021366261
RNA5SP414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP42,0,0,0,169.84,192.8,0,0,117.72,0,125.26,436.58,113.11,0,270.84,261.49,0,3.667884409,0,0
RNA5SP420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP425,0,0,0,0,17.4,0,0,0,0,0,0,0,0,44.96,0,103.9913291,3.766131313,4.079373379,3.416646975
RNA5SP426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.486005843,11.32784674,3.162516208
RNA5SP427,0,0,0,0,76.42,0,0,0,0,0,0,0,0,0,20.28,0,0,0,0
RNA5SP428,240.5,0,58.27,196.03,98.33,0,0,143.36,0,138.96,0,136.99,89.13,67.63,72.09,132.3526007,46.33482766,34.61286503,11.59589276
RNA5SP429,9921.41,6631.46,12858.87,12087.18,12358.47,11209.26,8177.37,17509.63,10251.96,11213.46,2997.53,15213.31,12060.26,10373.79,14582.3,4060.432081,1364.099672,1098.212224,431.814025
RNA5SP43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.478767829
RNA5SP431,0,0,0,36.43,0,0,0,65.57,0,0,0,0,0,0,17.73,0,0,0,0
RNA5SP432,0,0,0,41.34,248.64,0,0,147.18,0,210.64,0,163.75,0,80.18,63.28,0,0,0,0
RNA5SP433,187.06,0,0,89.36,213.4,0,0,39.08,0,198.8,0,249.28,0,0,57.01,51.08345993,0,0,6.7134116
RNA5SP434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.229008765,11.32784674,0
RNA5SP435,346.8,1361.84,0,196.45,149.25,0,0,204.12,0,259.78,0,144.75,0,202.84,56.66,53.92142993,17.57527946,38.07415154,21.25913673
RNA5SP436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP437,0,0,0,0,11.38,117.41,0,52.57,0,0,0,0,0,0,0,0,4.904729151,0,2.966391172
RNA5SP438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP44,0,0,0,25.02,52.07,0,0,0,0,18.79,0,0,0,0,0,0,12.685916,13.74104717,37.4032932
RNA5SP440,220.29,0,417.64,75.83,168.75,204.91,0,296.09,183.65,279.02,0,0,31.4,362.57,183.74,0,12.40607962,15.35764096,6.431335483
RNA5SP441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP442,239.85,0,109.26,0,57.42,0,366.05,309.39,173.83,162.81,0,375.37,0,0,53.54,108.850737,13.79741565,38.42998473,21.45782026
RNA5SP443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.195505356,3.461286503,0
RNA5SP444,1473.82,0,1020.07,1060.86,1947.97,1612.43,1138.96,2129.72,181.2,1011.14,0,1402.61,1674.44,1468.63,1417.48,0,3.979308557,0,7.220084174
RNA5SP445,0,0,0,42.71,31.27,0,0,0,0,53.07,0,0,0,0,20.11,50.63925593,3.667884409,0,3.327517054
RNA5SP446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP448,0,0,0,0,0,0,0,0,0,0,0,0,0,46.31,0,0,5.700090635,0,3.447427579
RNA5SP449,0,0,0,27.93,0,0,0,0,0,0,0,0,0,0,0,0,0,21.08722239,2.943572779
RNA5SP45,0,0,0,0,0,0,0,0,0,0,0,0,0,87.54,0,0,11.46213878,0,0
RNA5SP450,0,0,131.95,202.63,116.76,0,220.68,115.06,0,340.06,110.25,0,0,184.32,57.98,0,2.067679936,4.479311946,15.00644946
RNA5SP451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP452,79.21,0,216.06,263.06,358.85,0,0,568.02,0,401.26,163.88,345.6,369.21,121.41,464.86,0,7.089188353,0,0
RNA5SP453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.839410239,0
RNA5SP454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP456,0,0,85.18,132.42,264.71,0,0,117.17,131.59,161.64,0,58.46,0,84.87,146.3,0,0,0,0
RNA5SP457,0,0,0,0,12.78,0,0,29.36,0,0,0,0,0,0,0,0,5.102500488,0,0
RNA5SP458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.568898184,0
RNA5SP46,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,3.807415154,6.37774102
RNA5SP460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP462,100.22,0,273.92,141.6,243.57,0,153.47,704.04,426.54,275.63,0,250.75,87.32,224.82,217.76,0,0,28.55561365,0
RNA5SP464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.460922564,0
RNA5SP465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.804679454,4.191649711,0
RNA5SP466,0,0,0,108.43,19.48,0,0,94.2,0,78.68,0,0,0,50.71,0,0,3.905617657,0,0
RNA5SP467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.787316555,7.743895228,0
RNA5SP468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267777995,0,0
RNA5SP469,111.48,0,0,209.35,38.74,0,0,92.45,0,38.03,0,0,0,100.76,81.33,0,11.60935891,4.191649711,7.021366261
RNA5SP47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP471,0,0,0,0,0,0,0,50.27,0,0,0,0,0,0,0,0,0,0,0
RNA5SP472,0,0,0,0,14.46,0,0,33.73,0,0,0,0,0,0,0,0,0,0,0
RNA5SP473,131.94,0,356.85,156.57,442.32,267.67,0,406.11,263,302.94,74.94,388.22,109.49,378.78,365.07,0,0,40.20630402,6.12263138
