index,PIK3CA-0001,PIK3CA-0002,PIK3CA-0003,PIK3CA-0004,PIK3CA-0036,PIK3CA-0047,PIK3CA-1020,PIK3CA-1033,PIK3CA-1038,PIK3CA-1045,PIK3CA-1052,PIK3CA-1268,PIK3CA-1458,PIK3CA-1588,PIK3CA-2179,PIK3CA-1039,PIK3CA-1676,PIK3CA-1035,PIK3CA-1113
ABHD2,7.23,178.12,3.34,11.67,6.68,0,13.04,5.6,2.91,2.91,6.01,20.82,10.14,8.27,6.63,2.313672798,11.10238154,35.89589257,14.48104487
ABHD3,0.87,73.12,4.86,7.97,2.13,1.14,4.24,2.74,0,8.92,0,1.33,17.37,5.4,2.75,4.028255314,4.182081716,11.79886089,3.176370902
ABHD4,3.42,0,1.65,1.65,1.74,32.19,2.37,3.8,2.33,1.89,0,3.83,1.92,6.06,5.28,0,4.145520462,2.357416754,2.914643316
ABHD5,0,0,4.54,6.26,4.9,0,0.79,2.41,5.17,2.17,5.85,3.76,0,5.27,2,6.179614731,3.189147407,2.727157691,1.471981612
ABHD6,0.65,0,0.86,0.1,0.28,0,0,0.19,0,7.27,0,3.97,0,0.54,0.26,0,1.065467405,6.66805236,3.544183896
ABHD8,1.13,0,2.2,1.37,0.31,0.5,0,1.09,0,1.7,2.34,0.77,0,0.31,0.15,0,0.195100235,1.479291734,2.123947056
ABI1,3.79,0,2.64,4.9,7.77,8.97,3.59,4.41,2.84,6.89,0,4.2,7.72,4.74,5.2,8.283804313,7.250115282,7.365696457,5.806193817
ABI1P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815874676,1.708323488
ABI2,21.26,2,9.61,10.99,6.37,22.37,20.1,7.65,8.35,11.27,0.25,15.49,5.7,21.08,7.12,1.000818807,2.899637943,3.98490368,1.956479952
ABI3,9.43,11.54,2.22,7.08,0.44,2.46,0,2.08,0,3.86,2.32,2.21,0.32,6.79,4,0,1.485234884,4.625205028,4.884361521
