"interaction","name","selected","shared interaction","shared name"
"interacts with","C11orf24 (interacts with) TDRD5","false","interacts with","C11orf24 (interacts with) TDRD5"
"interacts with","C11orf24 (interacts with) TLR5","false","interacts with","C11orf24 (interacts with) TLR5"
"interacts with","C11orf24 (interacts with) TNFSF18","false","interacts with","C11orf24 (interacts with) TNFSF18"
"interacts with","C11orf24 (interacts with) TSPYL5","false","interacts with","C11orf24 (interacts with) TSPYL5"
"interacts with","C11orf24 (interacts with) WDR49","false","interacts with","C11orf24 (interacts with) WDR49"
"interacts with","C12orf45 (interacts with) CADM3","false","interacts with","C12orf45 (interacts with) CADM3"
"interacts with","C12orf45 (interacts with) CHRD","false","interacts with","C12orf45 (interacts with) CHRD"
"interacts with","C12orf45 (interacts with) CLDN18","false","interacts with","C12orf45 (interacts with) CLDN18"
"interacts with","C12orf45 (interacts with) CYBRD1","false","interacts with","C12orf45 (interacts with) CYBRD1"
"interacts with","C12orf45 (interacts with) INMT","false","interacts with","C12orf45 (interacts with) INMT"
"interacts with","C12orf45 (interacts with) LIPH","false","interacts with","C12orf45 (interacts with) LIPH"
"interacts with","C12orf45 (interacts with) RARRES1","false","interacts with","C12orf45 (interacts with) RARRES1"
"interacts with","C12orf45 (interacts with) TSC22D2","false","interacts with","C12orf45 (interacts with) TSC22D2"
"interacts with","C12orf45 (interacts with) ZNF334","false","interacts with","C12orf45 (interacts with) ZNF334"
"interacts with","C8A (interacts with) EPHA6","false","interacts with","C8A (interacts with) EPHA6"
"interacts with","C8A (interacts with) HOXA13","false","interacts with","C8A (interacts with) HOXA13"
"interacts with","C8A (interacts with) HRH3","false","interacts with","C8A (interacts with) HRH3"
"interacts with","C8A (interacts with) LEP","false","interacts with","C8A (interacts with) LEP"
"interacts with","C8A (interacts with) MYF5","false","interacts with","C8A (interacts with) MYF5"
"interacts with","C8A (interacts with) SEMA4F","false","interacts with","C8A (interacts with) SEMA4F"
"interacts with","C8A (interacts with) SKP2","false","interacts with","C8A (interacts with) SKP2"
"interacts with","C8A (interacts with) SLURP1","false","interacts with","C8A (interacts with) SLURP1"
"interacts with","CD151 (interacts with) CHRM2","false","interacts with","CD151 (interacts with) CHRM2"
"interacts with","CD151 (interacts with) CHRNB2","false","interacts with","CD151 (interacts with) CHRNB2"
"interacts with","CD151 (interacts with) CNNM4","false","interacts with","CD151 (interacts with) CNNM4"
"interacts with","CD151 (interacts with) CYP3A7","false","interacts with","CD151 (interacts with) CYP3A7"
"interacts with","CD151 (interacts with) DYNC1I1","false","interacts with","CD151 (interacts with) DYNC1I1"
"interacts with","CD151 (interacts with) EPHB1","false","interacts with","CD151 (interacts with) EPHB1"
"interacts with","CD151 (interacts with) ETV3L","false","interacts with","CD151 (interacts with) ETV3L"
"interacts with","CD151 (interacts with) ETV3","false","interacts with","CD151 (interacts with) ETV3"
"interacts with","CD151 (interacts with) FAM105B","false","interacts with","CD151 (interacts with) FAM105B"
"interacts with","CD151 (interacts with) FBXO28","false","interacts with","CD151 (interacts with) FBXO28"
"interacts with","CD151 (interacts with) FGF10","false","interacts with","CD151 (interacts with) FGF10"
"interacts with","CD151 (interacts with) FZD6","false","interacts with","CD151 (interacts with) FZD6"
"interacts with","CD151 (interacts with) GALNTL5","false","interacts with","CD151 (interacts with) GALNTL5"
"interacts with","CD151 (interacts with) GCC1","false","interacts with","CD151 (interacts with) GCC1"
"interacts with","CD151 (interacts with) GLT25D2","false","interacts with","CD151 (interacts with) GLT25D2"
"interacts with","CD151 (interacts with) GSTA3","false","interacts with","CD151 (interacts with) GSTA3"
"interacts with","CD151 (interacts with) HIP1","false","interacts with","CD151 (interacts with) HIP1"
"interacts with","CD151 (interacts with) HMCN1","false","interacts with","CD151 (interacts with) HMCN1"
"interacts with","CD151 (interacts with) ILDR2","false","interacts with","CD151 (interacts with) ILDR2"
"interacts with","CD151 (interacts with) KBTBD10","false","interacts with","CD151 (interacts with) KBTBD10"
"interacts with","CD151 (interacts with) KCNJ9","false","interacts with","CD151 (interacts with) KCNJ9"
"interacts with","CD151 (interacts with) KIF3C","false","interacts with","CD151 (interacts with) KIF3C"
"interacts with","CD151 (interacts with) KIRREL","false","interacts with","CD151 (interacts with) KIRREL"
"interacts with","CD151 (interacts with) KLHDC10","false","interacts with","CD151 (interacts with) KLHDC10"
"interacts with","CD151 (interacts with) LASS6","false","interacts with","CD151 (interacts with) LASS6"
"interacts with","CD151 (interacts with) LHX9","false","interacts with","CD151 (interacts with) LHX9"
"interacts with","CD151 (interacts with) LMLN","false","interacts with","CD151 (interacts with) LMLN"
"interacts with","CD151 (interacts with) LMX1A","false","interacts with","CD151 (interacts with) LMX1A"
"interacts with","CD151 (interacts with) LRRC14B","false","interacts with","CD151 (interacts with) LRRC14B"
"interacts with","CD151 (interacts with) MCFD2","false","interacts with","CD151 (interacts with) MCFD2"
